analyst_id,analyst_names,roles,membersince,confidence_score,errorrate,accuracy,points,points_per_estimate,stocks,pending_estimates
Roth_14,John M. White,"Financial Professional, Sell Side, Broker",15-Oct,6.1,38.00%,42%,14,3.5,4,20
benjenholdings,Ben Jen,"Financial Professional, Independent, Independent Research",16-Jul,8.3,16.00%,60%,"23,902",14.1,"1,701",13
BillB1210,Bill,"Non Professional, Financials, Professional Services",14-Jul,8.4,16.60%,59%,"25,559",13.6,"1,877",28
Analyst_8049250,Analyst_8049250,"Non Professional, Other, Other",21-Jul,7.1,-,-,-,-,-,0
Medic2525,Medic2525,"Non Professional, Health Care, Health Care Providers & Services",19-Apr,8.3,28.00%,24%,-53,-5.3,10,2
Analyst_4544960,"Mike Kelly, CFA","Financial Professional, Sell Side, Broker",15-Oct,6.2,-,-,-,-,-,0
R_C12R,Ron,"Non Professional, Industrials, Aerospace & Defense",16-May,8.1,16.10%,55%,304,14.5,21,6
GHS_21,John Aschenbeck,"Financial Professional, Sell Side, Broker",18-Jul,2.7,-,-,-,-,-,0
Cantor_22,Alethia Young,"Financial Professional, Sell Side, Broker",18-Sep,4.9,35.80%,30%,-93,-2.9,35,34
Needham_45,Joseph Stringer,"Financial Professional, Sell Side, Broker",20-Sep,6.4,45.80%,40%,-14,-2.3,12,17
Analyst_1561047,Analyst_1561047,", , ",19-Dec,6.7,36.80%,27%,-26,-2.9,9,0
Analyst_5060911,Analyst_5060911,", , ",20-Aug,5.4,-,-,-,-,-,0
Needham_5,Alan Carr,"Financial Professional, Sell Side, Broker",14-Jan,6.5,-,-,-,-,-,0
Analyst_5883186,Analyst_5883186,"Non Professional, Consumer Staples, Household & Personal Products",21-Apr,8.7,13.70%,61%,"2,634",18,146,24
Momocow,Momocow,"Non Professional, Financials, Insurance",20-Nov,8.6,13.30%,59%,716,11.9,60,0
Catooch,Ken Catucci,"Non Professional, Financials, Capital Markets",21-Sep,8.3,12.40%,59%,"11,560",14.9,778,27
GHS_41,"Mark Weintraub, CFA","Financial Professional, Sell Side, Broker",21-Jun,7,10.00%,38%,29,5.5,8,11
Suntrust_109,Rohit Seth,"Financial Professional, Sell Side, Broker",20-Aug,4.9,13.00%,16%,-33,-6,7,17
Suntrust_38,Rohit Seth,"Financial Professional, Sell Side, Broker",15-Mar,5.3,18.80%,24%,-37,-8.2,7,7
Analyst_2906477,Analyst_2906477,"Non Professional, Other, Other",21-May,7,-,-,-,-,-,0
Analyst_1802116,Analyst_1802116,"Non Professional, Other, Other",21-Jul,7.3,-,-,-,-,-,0
suburbanaces,suburbanaces,"Non Professional, Consumer Discretionary, Hotels Restaurants & Leisure",21-May,8.3,4.00%,65%,43,21.5,2,0
Ocelogic,Ocelogic,"Non Professional, Information Technology, Internet Software & Services",15-Nov,8.2,18.80%,72%,139,15.4,9,0
Analyst_389178,Analyst_389178,"Non Professional, Other, Other",21-Jan,7.3,-,-,-,-,-,0
Analyst_6452210,Analyst_6452210,"Non Professional, Consumer Discretionary, Household Durables",20-Jun,9,-,-,-,-,-,0
jean_acciari,jean_acciari,"Non Professional, Telecommunication Services, Diversified Telecommunications",18-Mar,8.4,-,-,-,-,-,0
Analyst_3358941,Analyst_3358941,"Non Professional, Consumer Staples, Personal Products",19-Apr,7.2,62.00%,14%,-33,-22,2,0
Analyst_539247,Analyst_539247,"Non Professional, Other, Other",21-Jan,6.9,-,-,-,-,-,0
GHS_24,Mark Weintraub,"Financial Professional, Sell Side, Broker",18-Oct,4.8,22.90%,9%,-71,-15.8,7,9
Dominantstock,Dominantstock,"Financial Professional, Buy Side, Asset Manager",17-Jun,3.2,25.80%,21%,"-1,041",-7.8,136,215
Analyst_398345,Analyst_398345,", , ",20-Jul,6.5,10.50%,45%,31,10.3,3,2
andluger,andluger,"Non Professional, Financials, Diversified Financial Services",18-Oct,8,11.70%,55%,72,10.3,7,0
