analyst_id,Ticker,Quarter,Reported,Rank,EpsPoints,RevenuePoints,TotalPoints
pureoptions,THO,Q1 2022,8-Dec-21,17 / 17,-10,-6,-16
pureoptions,UNFI,Q1 2022,8-Dec-21,5/9,-4,13,9
pureoptions,ZM,Q3 2022,22-Nov-21,49 / 57,-4,-7,-11
pureoptions,BRBR,Q4 2021,18-Nov-21,5/7,-3,-6,-9
pureoptions,NVDA,Q3 2022,17-Nov-21,96 / 212,16,8,24
pureoptions,HD,Q3 2021,16-Nov-21,4/1,16,17,33
pureoptions,EPC,Q4 2021,11-Nov-21,7/7,-6,-5,-11
pureoptions,RNG,Q3 2021,9-Nov-21,10/17,9,-4,5
pureoptions,COIN,Q3 2021,9-Nov-21,19 / 51,-2,16,14
pureoptions,PLTR,Q3 2021,9-Nov-21,56 / 71,-3,-5,-8
pureoptions,UBER,Q3 2021,4-Nov-21,22 / 42,12,-5,7
pureoptions,NCLH,Q3 2021,3-Nov-21,13 / 14,-8,-6,-14
pureoptions,CWH,Q3 2021,2-Nov-21,11/11,-25,-12,-37
pureoptions,LYFT,Q3 2021,2-Nov-21,8/26,16,-1,15
pureoptions,AAPL,Q4 2021,28-Oct-21,271 / 324,-10,-4,-14
pureoptions,EBAY,Q3 2021,27-Oct-21,9/1,16,14,30
pureoptions,UPWK,Q3 2021,27-Oct-21,2/13,25,-1,24
pureoptions,GM,Q3 2021,27-Oct-21,2/27,20,-7,13
pureoptions,TWTR,Q3 2021,26-Oct-21,77 / 87,-3,-12,-15
pureoptions,ENPH,Q3 2021,26-Oct-21,5/1,15,20,35
pureoptions,FB,Q3 2021,25-Oct-21,160 / 185,-7,-9,-16
pureoptions,CLF,Q3 2021,22-Oct-21,23 / 23,-25,-20,-45
pureoptions,SNAP,Q3 2021,21-Oct-21,57 / 74,8,-5,3
pureoptions,CMG,Q3 2021,21-Oct-21,28 / 39,11,-3,8
pureoptions,INTC,Q3 2021,21-Oct-21,98 / 120,9,-8,1
pureoptions,TSLA,Q3 2021,20-Oct-21,271 / 302,-10,-6,-16
pureoptions,WGO,Q4 2021,20-Oct-21,10/10,-7,-12,-19
pureoptions,WDFC,Q4 2021,19-Oct-21,11/13,-4,-4,-8
pureoptions,NFLX,Q3 2021,19-Oct-21,94 / 144,11,-9,2
pureoptions,IRDM,Q3 2021,19-Oct-21,4/10,-2,9,7
pureoptions,AA,Q3 2021,14-Oct-21,14 / 21,-3,11,8
pureoptions,DAL,Q3 2021,13-Oct-21,21 / 27,-6,-3,-9
pureoptions,JPM,Q3 2021,13-Oct-21,66 / 85,-8,11,3
pureoptions,FAST,Q3 2021,12-Oct-21,14 / 18,-4,-5,-9
pureoptions,MKC,Q3 2021,30-Sep-21,4/13,14,-3,11
pureoptions,MU,Q4 2021,28-Sep-21,72 / 88,-4,-2,-6
pureoptions,CALM,Q1 2022,28-Sep-21,1/14,24,12,36
pureoptions,THO,Q4 2021,28-Sep-21,11/15,-3,12,9
pureoptions,UNFI,Q4 2021,28-Sep-21,5/12,15,-4,11
pureoptions,CCL,Q3 2021,24-Sep-21,16 / 24,-3,-1,-4
pureoptions,ADBE,Q3 2021,21-Sep-21,71 / 81,-5,-7,-12
pureoptions,ZM,Q2 2022,30-Aug-21,70 / 83,-8,-6,-14
pureoptions,PLTR,Q2 2021,12-Aug-21,73 / 81,-2,-9,-11
pureoptions,EBAY,Q2 2021,11-Aug-21,28 / 44,-5,-1,-6
pureoptions,COIN,Q2 2021,10-Aug-21,33 / 45,9,-9,0
pureoptions,NCLH,Q2 2021,6-Aug-21,7/11,-1,-1,-2
pureoptions,BRBR,Q3 2021,5-Aug-21,4/4,-7,-6,-13
pureoptions,EPC,Q3 2021,5-Aug-21,1/5,13,21,34
pureoptions,UBER,Q2 2021,4-Aug-21,22 / 35,9,-4,5
pureoptions,GM,Q2 2021,4-Aug-21,20 / 34,-12,23,11
pureoptions,LOGI,Q1 2022,26-Jul-21,16 / 17,-9,-7,-16
yorel,NVR,Q2 2021,21-Jul-21,2/6,-3,20,17
yorel,HCSG,Q2 2021,21-Jul-21,1/5,-3,-1,-4
yorel,SYF,Q2 2021,20-Jul-21,7/7,-4,-3,-7
yorel,MAN,Q2 2021,20-Jul-21,5/8,9,13,22
yorel,PPG,Q2 2021,19-Jul-21,2/7,-3,20,17
yorel,JBHT,Q2 2021,19-Jul-21,8/8,-5,-4,-9
yorel,CCK,Q2 2021,19-Jul-21,1/13,-4,17,13
yorel,IBM,Q2 2021,19-Jul-21,29 / 63,-1,8,7
yorel,STLD,Q2 2021,19-Jul-21,4/12,22,9,31
yorel,TSCO,Q2 2021,19-Jul-21,18 / 22,-4,-3,-7
yorel,AN,Q2 2021,19-Jul-21,11/15,-3,-4,-7
yorel,CALM,Q4 2021,19-Jul-21,3/16,-1,-2,-3
yorel,KSU,Q2 2021,16-Jul-21,2/9,-2,-1,-3
yorel,SCHW,Q2 2021,16-Jul-21,11/17,-1,5,4
