analyst_id,Ticker,Reports,Quarters,Points,PtsEst,ErrorRate,Accuracy
pureoptions,AAPL,1-Feb,5,-3,-0.6,16.10%,29%
pureoptions,THO,7-Mar,4,-32,-8,25.90%,14%
pureoptions,TWTR,10-Feb,4,-14,-3.5,26.10%,47%
pureoptions,UPWK,3-Mar,4,53,13.3,35.70%,65%
pureoptions,EBAY,2-Feb,4,35,8.8,3.60%,54%
pureoptions,UNFI,9-Mar,4,53,13.3,12.60%,66%
pureoptions,WDFC,12-Jan,4,49,12.3,24.70%,40%
pureoptions,EPC,10-Feb,4,75,18.8,12.20%,59%
pureoptions,LYFT,15-Feb,4,52,13,33.20%,53%
pureoptions,UBER,9-Feb,4,1,0.3,41.10%,47%
pureoptions,NFLX,18-Jan,4,-13,-3.3,10.00%,39%
pureoptions,CWH,10-Mar,4,-117,-29.3,34.60%,1%
pureoptions,BRBR,10-Feb,4,-3,-0.8,16.80%,23%
pureoptions,PLTR,15-Feb,3,-18,-6,31.20%,33%
pureoptions,ZM,9-Mar,3,1,0.3,14.80%,42%
pureoptions,IRDM,24-Feb,3,3,1,38.70%,33%
pureoptions,JPM,14-Jan,3,42,14,12.80%,45%
pureoptions,WGO,17-Dec,3,-17,-5.7,23.60%,18%
pureoptions,ENPH,1-Mar,3,72,24,4.90%,68%
pureoptions,CLF,27-Jan,3,-48,-16,32.80%,17%
pureoptions,GM,1-Feb,3,38,12.7,24.00%,52%
pureoptions,FB,2-Feb,3,23,7.7,10.40%,43%
pureoptions,TSLA,2-Feb,3,-9,-3,22.70%,37%
pureoptions,ANGI,9-Feb,3,23,7.7,24.10%,55%
pureoptions,CMG,8-Feb,3,11,3.7,7.20%,44%
pureoptions,NCLH,24-Feb,3,6,2,54.20%,57%
pureoptions,FAST,19-Jan,3,-37,-12.3,3.00%,37%
pureoptions,SNAP,8-Feb,3,52,17.3,43.40%,50%
pureoptions,COIN,10-Feb,3,35,11.7,25.10%,45%
pureoptions,FMS,23-Feb,2,5,2.5,21.30%,41%
yorel,PPG,20-Jan,1,17,17,6.90%,78%
yorel,CCK,9-Feb,1,13,13,9.90%,75%
yorel,CALM,7-Jan,1,-3,-3,55.90%,94%
yorel,ALV,28-Jan,1,-3,-3,8.10%,96%
yorel,NVR,27-Jan,1,17,17,6.20%,57%
yorel,AN,4-Feb,1,-7,-7,29.60%,37%
yorel,TSCO,2-Feb,1,-7,-7,5.10%,48%
yorel,STLD,24-Jan,1,31,31,3.00%,56%
yorel,STT,26-Jan,1,18,18,5.20%,47%
yorel,SCHW,19-Jan,1,4,4,1.40%,69%
yorel,MAN,1-Feb,1,22,22,13.40%,51%
yorel,HCSG,8-Feb,1,-4,-4,51.20%,87%
yorel,JBHT,18-Jan,1,-9,-9,4.70%,14%
yorel,KSU,21-Jan,1,-3,-3,2.50%,74%
yorel,IBM,24-Jan,1,7,7,1.60%,50%
yorel,SYF,28-Jan,1,-7,-7,22.00%,28%
yorel,ERIC,25-Jan,1,19,19,4.70%,73%
yorel,LOGI,17-Jan,1,-16,-16,23.10%,7%
Analyst_2297174,CYD,13-Dec,1,11,11,6.90%,74%
Analyst_9910177,CYD,13-Dec,1,-11,-11,37.90%,37%
Canaccord_188,SHOP,16-Feb,11,102,9.3,34.40%,44%
Canaccord_188,VEEV,1-Mar,11,53,4.8,8.40%,31%
Canaccord_188,ZEN,8-Feb,11,117,10.6,18.50%,50%
Canaccord_188,AZPN,26-Jan,10,88,8.8,15.50%,49%
Canaccord_188,PAYC,8-Feb,10,-105,-10.5,11.10%,13%
Canaccord_188,SPSC,8-Feb,8,178,22.3,5.80%,64%
Canaccord_188,QTWO,16-Feb,8,-51,-6.4,47.70%,27%
Canaccord_188,DBX,24-Feb,7,14,2,11.00%,37%
Canaccord_188,EVBG,22-Feb,7,1,0.1,41.90%,27%
Canaccord_188,BAND,24-Feb,7,-55,-7.9,57.90%,18%
Canaccord_188,SAIL,24-Feb,7,0,0,53.30%,21%
Canaccord_188,NOW,26-Jan,7,-18,-2.6,8.80%,16%
Canaccord_188,HUBS,15-Feb,7,95,13.6,16.40%,42%
Canaccord_188,TEAM,20-Jan,7,85,12.1,9.30%,36%
Canaccord_188,TWLO,15-Feb,7,0,0,50.30%,18%
Canaccord_188,MDB,16-Mar,6,-4,-0.7,38.70%,23%
Canaccord_188,CRM,1-Mar,6,22,3.7,19.90%,30%
Canaccord_188,ADSK,3-Mar,6,65,10.8,4.40%,39%
Canaccord_188,WDAY,28-Feb,6,6,1,12.80%,27%
Canaccord_188,OKTA,10-Mar,6,-58,-9.7,38.50%,10%
Canaccord_188,PLAN,2-Mar,6,4,0.7,27.80%,19%
Canaccord_188,SMAR,22-Mar,6,50,8.3,47.20%,19%
Canaccord_188,ESTC,2-Mar,6,46,7.7,46.70%,29%
Canaccord_188,AVLR,16-Feb,6,17,2.6,41.90%,31%
Canaccord_188,SNOW,2-Mar,5,37,7.4,25.00%,38%
Canaccord_188,FIVN,22-Feb,5,94,17.1,6.90%,49%
Canaccord_188,UPLD,10-Mar,5,-1,-0.2,18.70%,24%
Canaccord_188,BILL,10-Feb,4,-11,-2.8,58.00%,18%
Canaccord_188,ONTF,16-Mar,3,37,12.3,39.40%,35%
Canaccord_188,DT,2-Feb,3,42,14,3.50%,19%
Phil_C,ZM,9-Mar,7,165,23.6,13.90%,70%
Phil_C,EVBG,22-Feb,7,129,18.4,43.80%,64%
Phil_C,NOW,26-Jan,7,141,20.1,4.00%,61%
Phil_C,HUBS,15-Feb,7,139,19.9,13.20%,67%
Phil_C,PYPL,2-Feb,7,41,5.9,4.80%,49%
Phil_C,SHOP,16-Feb,7,132,18.9,34.90%,63%
Phil_C,TEAM,20-Jan,7,185,26.4,7.30%,73%
Phil_C,TTD,17-Feb,7,131,18.7,16.00%,63%
Phil_C,DOCU,17-Mar,7,78,11.1,15.60%,41%
Phil_C,MDB,16-Mar,7,184,26.3,22.10%,77%
Phil_C,DDOG,17-Feb,7,152,21.7,24.50%,67%
Phil_C,FB,2-Feb,7,59,8.4,11.30%,51%
Phil_C,INTC,26-Jan,7,85,12.1,9.20%,61%
Phil_C,AMZN,3-Feb,7,121,17.4,22.20%,57%
Phil_C,MSFT,27-Jan,7,226,32.3,3.50%,77%
Phil_C,PEGA,24-Feb,7,5,0.7,40.00%,37%
Phil_C,ADSK,3-Mar,7,133,19,2.70%,58%
Phil_C,TWLO,15-Feb,6,152,25.3,32.10%,74%
Phil_C,TSLA,2-Feb,6,141,21.7,22.50%,69%
Phil_C,AVLR,16-Feb,6,172,26.5,52.60%,76%
Phil_C,FROG,10-Feb,5,-64,-12.8,43.80%,12%
Phil_C,NVDA,17-Feb,5,-2,-0.4,18.80%,25%
Phil_C,OKTA,10-Mar,5,72,14.4,45.70%,57%
Phil_C,CRWD,24-Mar,5,46,9.2,32.30%,44%
Phil_C,SNOW,2-Mar,5,136,27.2,20.00%,66%
Phil_C,NFLX,18-Jan,5,52,10.4,9.70%,55%
Phil_C,BABA,2-Feb,5,-4,-0.8,12.30%,39%
Phil_C,PAYC,8-Feb,4,-62,-15.5,15.60%,13%
Phil_C,ADBE,16-Dec,4,-6,-1.5,5.20%,16%
Phil_C,PLTR,15-Feb,4,54,13.5,22.60%,66%
Canaccord_166,QRVO,2-Feb,11,-179,-16.3,19.80%,5%
Canaccord_166,QCOM,2-Feb,11,70,6.4,7.20%,48%
Canaccord_166,SWIR,22-Feb,11,22,2,30.30%,49%
Canaccord_166,CAMP,21-Dec,11,74,6.7,30.30%,45%
Canaccord_166,SWKS,27-Jan,11,-131,-11.9,15.10%,7%
Canaccord_166,BB,16-Dec,11,102,9.3,37.60%,59%
Canaccord_166,CEVA,2-Feb,11,141,12.8,26.00%,43%
Canaccord_166,AAPL,1-Feb,10,161,15.3,8.40%,62%
Canaccord_166,DGII,3-Feb,9,21,2.2,10.60%,28%
Canaccord_166,NOK,3-Feb,9,39,4.1,29.80%,27%
Canaccord_166,MIXT,3-Feb,7,121,16.1,17.80%,63%
Canaccord_166,OKTA,10-Mar,6,-59,-9.8,53.20%,18%
Canaccord_166,EVBG,22-Feb,6,63,10.5,40.60%,38%
Canaccord_166,TWLO,15-Feb,6,-51,-8.5,50.70%,23%
Canaccord_166,SAIL,24-Feb,6,-34,-5.7,54.80%,30%
Canaccord_166,BAND,24-Feb,6,48,8,46.60%,50%
Canaccord_166,ERIC,25-Jan,5,79,14.4,20.90%,69%
Canaccord_166,ZS,24-Feb,4,-31,-7.8,20.10%,25%
Canaccord_166,CRWD,24-Mar,4,-38,-9.5,23.90%,35%
Canaccord_166,AVGO,9-Dec,3,-134,-44.7,12.80%,0%
Canaccord_166,TENB,8-Feb,1,-11,-11,44.50%,11%
Needham_26,PRO,8-Feb,24,77,3.2,20.80%,27%
Needham_26,VEEV,1-Mar,24,-215,-9,10.20%,16%
Needham_26,TYL,16-Feb,24,52,2.2,3.90%,35%
Needham_26,SPSC,8-Feb,24,-40,-1.7,10.60%,27%
Needham_26,WDAY,28-Feb,22,-84,-3.7,18.90%,24%
Needham_26,PCTY,3-Feb,21,38,1.8,19.20%,29%
Needham_26,CRM,1-Mar,20,-101,-5.1,11.40%,29%
Needham_26,FIVN,22-Feb,20,-65,-3.3,28.40%,17%
Needham_26,HSTM,22-Feb,16,77,4.8,19.70%,43%
Needham_26,HUBS,15-Feb,15,-84,-5.6,30.50%,19%
Needham_26,AXON,1-Mar,14,137,9.8,26.30%,43%
Needham_26,ZUO,24-Mar,13,153,11.8,28.40%,45%
Needham_26,ECOM,16-Feb,10,74,7.4,31.10%,56%
Needham_26,PLAN,2-Mar,9,31,3.4,31.30%,31%
Needham_26,SMAR,22-Mar,8,-25,-3.1,42.90%,11%
Needham_26,EVBG,22-Feb,7,41,5.9,44.50%,36%
Needham_26,AVLR,16-Feb,7,-6,-0.9,46.20%,32%
Needham_26,CDAY,9-Feb,6,-14,-2.3,31.40%,35%
Needham_26,DOCU,17-Mar,5,-54,-10.8,20.10%,23%
Needham_26,UPLD,10-Mar,5,25,5,11.10%,48%
Needham_26,BILL,10-Feb,4,30,7.5,39.50%,45%
Needham_26,ONTF,16-Mar,3,1,0.3,47.90%,17%
Needham_26,SPT,2-Mar,2,-6,-3,51.80%,11%
Needham_26,GLBE,3-Mar,1,-18,-18,53.10%,20%
Suntrust_93,HUBS,15-Feb,5,12,2.4,17.10%,39%
Suntrust_93,FIVN,22-Feb,5,-25,-5,22.80%,21%
Suntrust_93,MIME,14-Feb,5,-46,-9.2,14.20%,31%
Suntrust_93,BL,17-Feb,5,-11,-2.2,34.30%,25%
Suntrust_93,EVBG,22-Feb,5,50,10,38.30%,45%
Suntrust_93,SWI,9-Feb,5,7,1.4,11.10%,39%
Suntrust_93,MODN,8-Feb,5,-12,-2.4,35.10%,41%
Suntrust_93,WK,24-Feb,5,31,6.2,43.90%,31%
Suntrust_93,PLAN,2-Mar,4,-17,-4.3,39.80%,27%
Suntrust_93,SMAR,22-Mar,4,26,6.5,50.30%,18%
